date,home_team,away_team,lambda_home,lambda_away,top_score,exp_home_goals,exp_away_goals,xgb_pred_result,xgb_pred_goals,xgb_pred_corners,xgb_pred_yellows,xgb_1X2_H,poi_1X2_H,avg_1X2_H,diff_1X2_H,conf_1X2_H,xgb_1X2_D,poi_1X2_D,avg_1X2_D,diff_1X2_D,conf_1X2_D,xgb_1X2_A,poi_1X2_A,avg_1X2_A,diff_1X2_A,conf_1X2_A,xgb_over25,poi_over25,avg_over25,diff_over25,conf_over25,xgb_btts,poi_btts,avg_btts,diff_btts,conf_btts,confidence
2026-06-16,Iraq,Norway,0.806,2.261,0-2,0.805,2.256,A,2.4600000381469727,8.770000457763672,,8.7,8.47,8.59,2.7,ALTA,3.16,5.59,4.38,55.5,BAJA,1.76,1.42,1.59,21.4,MEDIA,2.44,1.69,2.06,36.3,BAJA,2.11,2.02,2.06,4.4,ALTA,BAJA
2026-06-16,Austria,Jordan,1.678,0.988,1-0,1.678,0.988,H,2.7699999809265137,7.289999961853027,,1.53,1.87,1.7,20.0,MEDIA,5.11,4.13,4.62,21.2,MEDIA,6.55,4.5,5.53,37.1,BAJA,2.15,2.01,2.08,6.7,ALTA,2.1,1.96,2.03,6.9,ALTA,BAJA
2026-06-16,Argentina,Algeria,2.198,0.754,2-0,2.194,0.754,H,2.9800000190734863,11.270000457763672,,1.38,1.42,1.4,2.9,ALTA,5.76,5.49,5.62,4.8,ALTA,9.8,8.76,9.28,11.2,MEDIA,1.96,1.77,1.86,10.2,MEDIA,2.11,2.12,2.12,0.5,ALTA,MEDIA
2026-06-17,Portugal,DR Congo,2.074,0.736,2-0,2.071,0.735,H,2.859999895095825,7.849999904632568,,1.59,1.46,1.52,8.5,ALTA,3.98,5.16,4.57,25.8,BAJA,8.23,8.26,8.25,0.4,ALTA,1.99,1.88,1.94,5.7,ALTA,1.91,2.2,2.06,14.1,MEDIA,BAJA
2026-06-17,England,Croatia,1.599,1.048,1-1,1.599,1.048,H,2.7200000286102295,8.510000228881836,,2.15,1.99,2.07,7.7,ALTA,3.14,4.0,3.57,24.1,MEDIA,4.62,4.02,4.32,13.9,MEDIA,1.8,2.03,1.92,12.0,MEDIA,1.78,1.93,1.85,8.1,ALTA,MEDIA
2026-06-17,Ghana,Panama,0.958,1.33,0-1,0.958,1.33,A,2.4200000762939453,8.369999885559082,,4.71,3.71,4.21,23.8,MEDIA,3.89,3.59,3.74,8.0,ALTA,1.88,2.21,2.04,16.1,MEDIA,2.25,2.5,2.38,10.5,MEDIA,2.3,2.21,2.25,4.0,ALTA,MEDIA
2026-06-17,Uzbekistan,Colombia,0.863,1.596,0-1,0.863,1.596,A,2.299999952316284,9.0600004196167,,6.23,4.93,5.58,23.3,MEDIA,4.61,3.99,4.3,14.4,MEDIA,1.61,1.83,1.72,12.8,MEDIA,2.52,2.24,2.38,11.8,MEDIA,2.1,2.17,2.13,3.3,ALTA,MEDIA
2026-06-18,Czech Republic,South Africa,1.639,0.838,1-0,1.638,0.838,H,2.609999895095825,8.180000305175781,,1.86,1.77,1.81,5.0,ALTA,3.74,4.07,3.91,8.5,ALTA,5.16,5.24,5.2,1.5,ALTA,2.02,2.22,2.12,9.4,ALTA,1.99,2.19,2.09,9.6,ALTA,ALTA
2026-06-18,Switzerland,Bosnia and Herzegovina,2.229,0.733,2-0,2.225,0.733,H,3.0799999237060547,10.140000343322754,,1.27,1.4,1.33,9.7,ALTA,6.9,5.63,6.27,20.3,MEDIA,14.88,9.28,12.08,46.4,BAJA,1.64,1.76,1.7,7.1,ALTA,2.17,2.16,2.17,0.5,ALTA,BAJA
2026-06-18,Canada,Qatar,1.928,0.651,1-0,1.926,0.651,H,2.7100000381469727,7.230000019073486,,1.37,1.48,1.43,7.7,ALTA,5.38,4.87,5.12,10.0,ALTA,11.83,8.55,10.19,32.2,BAJA,2.28,2.1,2.19,8.2,ALTA,2.69,2.45,2.57,9.3,ALTA,BAJA
