model_variant,segment,candidate_rows,bets,wins,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,profit_units,roi_pct,roi_ci95_low_pct,roi_ci95_high_pct,max_drawdown_units,avg_odds,min_odds,max_odds,avg_ev_pct,unique_matches,ev_band,odds_band,min_ev_pct,max_ev_pct,include_draws
ensemble_raw,overall,215,15,7,46.67,24.81,69.88,2.37,15.8,-67.48,99.08,-2.18,3.495,1.01,99.0,16.31,15,10-25,all_1.01_99,10.0,25.0,False
xgb_clean,overall,215,15,5,33.33,15.18,58.29,-4.36,-29.07,-83.11,24.98,-6.13,2.261,1.5,3.5,15.01,14,5-40,mid_1.50_3.50,5.0,40.0,False
xgb_clean,overall,215,14,4,28.57,11.72,54.65,-5.35,-38.21,-92.98,16.55,-6.13,2.281,1.5,3.5,13.75,13,5-30,mid_1.50_3.50,5.0,30.0,False
ensemble_raw,overall,215,14,4,28.57,11.72,54.65,-5.46,-39.0,-93.16,15.16,-6.45,2.281,1.5,3.5,17.44,14,5-40,mid_1.50_3.50,5.0,40.0,False
ensemble_calibrated,overall,215,14,4,28.57,11.72,54.65,-5.97,-42.64,-94.48,9.19,-5.97,4.237,1.01,99.0,21.32,14,15-30,all_1.01_99,15.0,30.0,False
ensemble_raw,overall,215,13,4,30.77,12.68,57.63,-4.46,-34.31,-91.95,23.34,-5.45,2.262,1.5,3.5,16.2,13,5-30,mid_1.50_3.50,5.0,30.0,False
ensemble_calibrated,overall,215,13,4,30.77,12.68,57.63,-4.83,-37.15,-93.13,18.82,-5.82,2.178,1.5,3.5,11.13,13,5-20,mid_1.50_3.50,5.0,20.0,False
poisson_dixon_coles,overall,215,12,4,33.33,13.81,60.94,-3.46,-28.83,-90.41,32.74,-4.45,2.384,1.5,3.5,20.01,12,5-40,mid_1.50_3.50,5.0,40.0,False
xgb_clean,overall,215,11,3,27.27,9.75,56.57,-4.22,-38.36,-102.77,26.04,-5.0,2.238,1.5,3.5,11.03,10,5-20,mid_1.50_3.50,5.0,20.0,False
xgb_clean,overall,215,10,5,50.0,23.66,76.34,0.64,6.4,-65.74,78.54,-3.0,2.129,1.5,3.5,19.05,10,10-40,mid_1.50_3.50,10.0,40.0,False
ensemble_raw,overall,215,10,4,40.0,16.82,68.73,-1.46,-14.6,-85.6,56.4,-3.13,2.184,1.5,3.5,12.73,10,5-20,mid_1.50_3.50,5.0,20.0,False
ensemble_raw,overall,215,10,4,40.0,16.82,68.73,-1.46,-14.6,-85.6,56.4,-2.45,2.337,1.5,3.5,21.39,10,10-40,mid_1.50_3.50,10.0,40.0,False
poisson_dixon_coles,overall,215,10,4,40.0,16.82,68.73,-1.46,-14.6,-85.6,56.4,-2.45,2.337,1.5,3.5,22.4,10,10-40,mid_1.50_3.50,10.0,40.0,False
ensemble_calibrated,overall,215,10,4,40.0,16.82,68.73,-2.89,-28.9,-86.28,28.48,-4.38,1.865,1.5,2.5,12.61,10,5-30,core_1.50_2.50,5.0,30.0,False
ensemble_calibrated,overall,215,10,4,40.0,16.82,68.73,-2.89,-28.9,-86.28,28.48,-4.38,1.865,1.5,2.5,12.61,10,5-40,core_1.50_2.50,5.0,40.0,False
ensemble_calibrated,overall,215,10,3,30.0,10.78,60.32,-3.45,-34.5,-102.57,33.57,-3.45,2.291,1.5,3.5,17.29,10,10-30,mid_1.50_3.50,10.0,30.0,False
ensemble_calibrated,overall,215,10,3,30.0,10.78,60.32,-3.45,-34.5,-102.57,33.57,-3.45,2.291,1.5,3.5,17.29,10,10-40,mid_1.50_3.50,10.0,40.0,False
xgb_clean,overall,215,9,3,33.33,12.06,64.58,1.63,18.11,-99.02,135.24,-5.0,3.132,2.5,4.0,12.18,8,5-30,review_2.50_4.00,5.0,30.0,False
ensemble_calibrated,overall,215,9,3,33.33,12.06,64.58,1.63,18.11,-99.02,135.24,-4.0,3.109,2.5,4.0,15.13,9,5-40,review_2.50_4.00,5.0,40.0,False
ensemble_raw,overall,215,9,3,33.33,12.06,64.58,1.63,18.11,-99.02,135.24,-4.0,3.109,2.5,4.0,20.63,9,5-40,review_2.50_4.00,5.0,40.0,False
xgb_clean,overall,215,9,3,33.33,12.06,64.58,1.63,18.11,-99.02,135.24,-5.0,3.132,2.5,4.0,12.18,8,5-40,review_2.50_4.00,5.0,40.0,False
xgb_clean,overall,215,9,4,44.44,18.88,73.34,-0.35,-3.89,-81.33,73.55,-3.0,2.144,1.5,3.5,17.54,9,10-30,mid_1.50_3.50,10.0,30.0,False
ensemble_raw,overall,215,9,4,44.44,18.88,73.34,-0.46,-5.11,-81.72,71.5,-2.13,2.317,1.5,3.5,20.03,9,10-30,mid_1.50_3.50,10.0,30.0,False
ensemble_raw,overall,215,9,4,44.44,18.88,73.34,-0.46,-5.11,-81.72,71.5,-2.25,2.276,1.5,3.5,22.62,9,15-40,mid_1.50_3.50,15.0,40.0,False
xgb_clean,overall,215,9,4,44.44,18.88,73.34,-1.29,-14.33,-80.98,52.31,-2.28,1.913,1.5,2.5,17.83,9,5-40,core_1.50_2.50,5.0,40.0,False
ensemble_calibrated,overall,215,9,3,33.33,12.06,64.58,-2.45,-27.22,-101.63,47.19,-2.45,2.266,1.5,3.5,16.08,9,10-25,mid_1.50_3.50,10.0,25.0,False
xgb_clean,overall,215,8,3,37.5,13.68,69.43,2.63,32.88,-95.82,161.57,-4.0,3.148,2.5,4.0,11.05,7,5-20,review_2.50_4.00,5.0,20.0,False
poisson_dixon_coles,overall,215,8,4,50.0,21.52,78.48,0.54,6.75,-76.03,89.53,-2.13,2.315,1.5,3.5,13.55,8,5-30,mid_1.50_3.50,5.0,30.0,False
ensemble_raw,overall,215,8,4,50.0,21.52,78.48,0.54,6.75,-76.03,89.53,-1.25,2.245,1.5,3.5,21.24,8,15-30,mid_1.50_3.50,15.0,30.0,False
xgb_clean,overall,215,8,4,50.0,21.52,78.48,-0.29,-3.63,-75.35,68.1,-2.0,1.919,1.5,2.5,19.26,8,10-40,core_1.50_2.50,10.0,40.0,False
xgb_clean,overall,215,8,3,37.5,13.68,69.43,-1.22,-15.25,-99.35,68.85,-3.0,2.179,1.5,3.5,16.11,8,10-25,mid_1.50_3.50,10.0,25.0,False
ensemble_calibrated,overall,215,8,2,25.0,7.15,59.07,-1.36,-17.0,-124.47,90.47,-4.0,2.999,2.5,4.0,13.17,8,5-30,review_2.50_4.00,5.0,30.0,False
xgb_clean,overall,215,8,3,37.5,13.68,69.43,-2.28,-28.5,-97.2,40.2,-2.28,1.904,1.5,2.5,15.97,8,5-30,core_1.50_2.50,5.0,30.0,False
ensemble_raw,overall,215,8,3,37.5,13.68,69.43,-2.39,-29.88,-97.09,37.34,-3.38,1.93,1.5,2.5,14.61,8,5-30,core_1.50_2.50,5.0,30.0,False
ensemble_raw,overall,215,8,3,37.5,13.68,69.43,-2.39,-29.88,-97.09,37.34,-3.38,1.93,1.5,2.5,14.61,8,5-40,core_1.50_2.50,5.0,40.0,False
ensemble_calibrated,overall,215,8,3,37.5,13.68,69.43,-2.76,-34.5,-97.8,28.8,-4.25,1.794,1.5,2.5,10.53,8,5-20,core_1.50_2.50,5.0,20.0,False
xgb_clean,overall,215,7,4,57.14,25.05,84.18,1.89,27.0,-64.54,118.54,-2.0,2.266,1.5,3.5,21.93,7,15-40,mid_1.50_3.50,15.0,40.0,False
ensemble_calibrated,overall,215,7,2,28.57,8.22,64.11,-0.08,-1.14,-128.25,125.97,-3.07,3.037,2.5,4.0,17.85,7,10-40,review_2.50_4.00,10.0,40.0,False
ensemble_raw,overall,215,7,2,28.57,8.22,64.11,-0.08,-1.14,-128.25,125.97,-3.07,3.037,2.5,4.0,24.13,7,10-40,review_2.50_4.00,10.0,40.0,False
ensemble_calibrated,overall,215,7,2,28.57,8.22,64.11,-0.36,-5.14,-126.31,116.02,-4.0,3.067,2.5,4.0,11.02,7,5-20,review_2.50_4.00,5.0,20.0,False
ensemble_raw,overall,215,7,2,28.57,8.22,64.11,-0.36,-5.14,-126.31,116.02,-4.0,3.067,2.5,4.0,16.14,7,5-30,review_2.50_4.00,5.0,30.0,False
xgb_clean,overall,215,7,3,42.86,15.82,74.95,-1.28,-18.29,-94.17,57.6,-2.0,1.909,1.5,2.5,17.34,7,10-30,core_1.50_2.50,10.0,30.0,False
ensemble_raw,overall,215,7,3,42.86,15.82,74.95,-1.39,-19.86,-94.08,54.37,-2.38,1.859,1.5,2.5,12.67,7,5-20,core_1.50_2.50,5.0,20.0,False
poisson_dixon_coles,overall,215,7,3,42.86,15.82,74.95,-1.39,-19.86,-94.08,54.37,-3.13,2.227,1.5,3.5,12.51,7,5-20,mid_1.50_3.50,5.0,20.0,False
poisson_dixon_coles,overall,215,7,2,28.57,8.22,64.11,-2.32,-33.14,-121.41,55.13,-2.32,2.374,1.5,3.5,26.67,7,15-40,mid_1.50_3.50,15.0,40.0,False
poisson_dixon_coles,overall,215,7,1,14.29,2.57,51.31,-4.07,-58.14,-140.18,23.9,-4.07,2.903,2.5,4.0,21.55,7,5-40,review_2.50_4.00,5.0,40.0,False
ensemble_raw,overall,215,6,4,66.67,30.0,90.32,2.54,42.33,-52.0,136.67,-1.0,2.213,1.5,3.5,16.18,6,10-25,mid_1.50_3.50,10.0,25.0,False
poisson_dixon_coles,overall,215,6,4,66.67,30.0,90.32,2.54,42.33,-52.0,136.67,-1.0,2.213,1.5,3.5,15.4,6,10-25,mid_1.50_3.50,10.0,25.0,False
poisson_dixon_coles,overall,215,6,4,66.67,30.0,90.32,2.54,42.33,-52.0,136.67,-1.0,2.213,1.5,3.5,15.4,6,10-30,mid_1.50_3.50,10.0,30.0,False
xgb_clean,overall,215,6,3,50.0,18.76,81.24,0.9,15.0,-89.68,119.68,-2.0,2.312,1.5,3.5,20.14,6,15-30,mid_1.50_3.50,15.0,30.0,False
ensemble_calibrated,overall,215,6,3,50.0,18.76,81.24,0.55,9.17,-92.01,110.34,-2.0,2.225,1.5,3.5,20.94,6,15-30,mid_1.50_3.50,15.0,30.0,False
