model_variant,segment,candidate_rows,bets,wins,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,profit_units,roi_pct,roi_ci95_low_pct,roi_ci95_high_pct,max_drawdown_units,avg_odds,min_odds,max_odds,avg_ev_pct,unique_matches
legacy_model,1X2-A,63,3,1,33.33,6.15,79.23,-1.13,-37.67,-159.84,84.51,-1.13,1.85,1.83,1.87,25.52,3
legacy_model,1X2-H,63,8,5,62.5,30.57,86.32,1.62,20.25,-50.58,91.08,-1.0,2.024,1.5,2.43,17.02,8
legacy_model,overall,215,11,6,54.55,28.01,78.73,0.49,4.45,-55.74,64.65,-2.0,1.976,1.5,2.43,19.34,11
