model_variant,home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,win,profit,resultado_real
xgb_clean,Argentina,Saudi Arabia,1X2-A,Saudi Arabia,21.0,0.1147,140.8,True,20.0,1-2
poisson_dixon_coles,Argentina,Saudi Arabia,1X2-A,Saudi Arabia,21.0,0.0607,27.47,True,20.0,1-2
ensemble_raw,Argentina,Saudi Arabia,1X2-A,Saudi Arabia,21.0,0.0757,58.9,True,20.0,1-2
ensemble_calibrated,Argentina,Saudi Arabia,1X2-A,Saudi Arabia,21.0,0.0465,-2.33,True,20.0,1-2
xgb_clean,Argentina,Saudi Arabia,1X2-D,Draw,10.0,0.137,36.97,False,-1.0,1-2
poisson_dixon_coles,Argentina,Saudi Arabia,1X2-D,Draw,10.0,0.157,57.0,False,-1.0,1-2
ensemble_raw,Argentina,Saudi Arabia,1X2-D,Draw,10.0,0.1514,51.45,False,-1.0,1-2
ensemble_calibrated,Argentina,Saudi Arabia,1X2-D,Draw,10.0,0.1244,24.44,False,-1.0,1-2
xgb_clean,Mexico,Poland,1X2-H,Mexico,2.56,0.4236,8.44,False,-1.0,0-0
poisson_dixon_coles,Mexico,Poland,1X2-H,Mexico,2.56,0.5346,36.86,False,-1.0,0-0
ensemble_raw,Mexico,Poland,1X2-H,Mexico,2.56,0.5038,28.98,False,-1.0,0-0
ensemble_calibrated,Mexico,Poland,1X2-H,Mexico,2.56,0.4326,10.74,False,-1.0,0-0
xgb_clean,Mexico,Poland,1X2-A,Poland,3.27,0.2649,-13.37,False,-1.0,0-0
poisson_dixon_coles,Mexico,Poland,1X2-A,Poland,3.27,0.1997,-34.7,False,-1.0,0-0
ensemble_raw,Mexico,Poland,1X2-A,Poland,3.27,0.2178,-28.78,False,-1.0,0-0
ensemble_calibrated,Mexico,Poland,1X2-A,Poland,3.27,0.2244,-26.64,False,-1.0,0-0
xgb_clean,Mexico,Poland,1X2-D,Draw,3.07,0.3115,-4.37,True,2.07,0-0
poisson_dixon_coles,Mexico,Poland,1X2-D,Draw,3.07,0.2657,-18.43,True,2.07,0-0
ensemble_raw,Mexico,Poland,1X2-D,Draw,3.07,0.2784,-14.53,True,2.07,0-0
ensemble_calibrated,Mexico,Poland,1X2-D,Draw,3.07,0.3431,5.33,True,2.07,0-0
xgb_clean,Denmark,Tunisia,1X2-H,Denmark,1.61,0.5787,-6.84,False,-1.0,0-0
poisson_dixon_coles,Denmark,Tunisia,1X2-H,Denmark,1.61,0.503,-19.02,False,-1.0,0-0
