date,home_team,away_team,mercado,seleccion,bookmaker,cuota,prob_modelo,cuota_justa,ev_pct,fiabilidad_pct,fiabilidad_nivel
2026-06-26,Uruguay,Spain,Under 2.5,Under,pinnacle,1.92,0.5342,1.872,2.57,55.3,MEDIA
2026-06-22,Argentina,Austria,Over 2.5,Over,williamhill,1.95,0.5256,1.903,2.49,61.0,MEDIA
2026-06-21,Belgium,Iran,Over 2.5,Over,pinnacle,1.84,0.5559,1.799,2.29,67.0,ALTA
2026-06-17,England,Croatia,Over 2.5,Over,williamhill,1.95,0.5236,1.91,2.1,79.5,ALTA
2026-06-22,Argentina,Austria,Over 2.5,Over,pinnacle,1.94,0.5256,1.903,1.97,61.0,MEDIA
2026-06-18,Switzerland,Bosnia and Herzegovina,Over 2.5,Over,pmu_fr,1.85,0.55,1.818,1.75,73.5,ALTA
2026-06-25,Tunisia,Netherlands,Under 2.5,Under,williamhill,1.85,0.5499,1.819,1.73,46.4,BAJA
2026-06-22,France,Iraq,Over 2.5,Over,williamhill,1.5,0.6777,1.476,1.66,42.9,BAJA
2026-06-17,Uzbekistan,Colombia,Under 2.5,Under,williamhill,1.8,0.5631,1.776,1.36,60.4,MEDIA
2026-06-13,Australia,Turkey,Under 2.5,Under,pinnacle,1.83,0.5538,1.806,1.35,69.3,ALTA
2026-06-25,Turkey,United States,Over 2.5,Over,williamhill,1.91,0.5301,1.886,1.25,71.6,ALTA
2026-06-13,Haiti,Scotland,Under 2.5,Under,pmu_fr,1.8,0.5622,1.779,1.2,45.9,BAJA
2026-06-17,England,Croatia,Over 2.5,Over,pmu_fr,1.93,0.5236,1.91,1.05,79.5,ALTA
2026-06-26,Senegal,Iraq,Under 2.5,Under,williamhill,1.85,0.5462,1.831,1.05,38.0,BAJA
2026-06-15,Saudi Arabia,Uruguay,Over 2.5,Over,pinnacle,2.05,0.4926,2.03,0.98,41.2,BAJA
2026-06-24,Scotland,Brazil,Under 2.5,Under,pinnacle,1.96,0.5151,1.941,0.96,51.7,MEDIA
2026-06-15,Spain,Cape Verde,Over 2.5,Over,williamhill,1.33,0.7587,1.318,0.91,43.0,BAJA
2026-06-24,Bosnia and Herzegovina,Qatar,Over 2.5,Over,pinnacle,2.0,0.5035,1.986,0.7,61.6,MEDIA
2026-06-27,Colombia,Portugal,Over 2.5,Over,williamhill,2.1,0.4791,2.087,0.61,78.3,ALTA
2026-06-11,South Korea,Czech Republic,Over 2.5,Over,williamhill,2.25,0.4466,2.239,0.49,67.6,ALTA
2026-06-15,Belgium,Egypt,Over 2.5,Over,pmu_fr,1.83,0.5484,1.823,0.36,42.9,BAJA
2026-06-23,Panama,Croatia,Under 2.5,Under,pinnacle,1.81,0.5544,1.804,0.35,73.1,ALTA
2026-06-17,Portugal,DR Congo,Under 2.5,Under,pmu_fr,2.14,0.4681,2.136,0.17,55.4,MEDIA
2026-06-21,Belgium,Iran,Over 2.5,Over,williamhill,1.8,0.5559,1.799,0.06,67.0,ALTA
2026-06-25,Ecuador,Germany,Under 2.5,Under,pmu_fr,1.78,0.5615,1.781,-0.05,69.1,ALTA
2026-06-13,Brazil,Morocco,Under 2.5,Under,williamhill,1.75,0.5708,1.752,-0.11,62.2,MEDIA
2026-06-21,New Zealand,Egypt,Under 2.5,Under,williamhill,1.67,0.5937,1.684,-0.85,53.0,MEDIA
2026-06-25,Turkey,United States,Over 2.5,Over,pinnacle,1.87,0.5301,1.886,-0.87,71.6,ALTA
2026-06-17,Uzbekistan,Colombia,Under 2.5,Under,pmu_fr,1.76,0.5631,1.776,-0.89,60.4,MEDIA
2026-06-25,Paraguay,Australia,Over 2.5,Over,williamhill,2.25,0.4405,2.27,-0.89,64.2,MEDIA
2026-06-19,United States,Australia,Over 2.5,Over,pinnacle,2.01,0.4929,2.029,-0.93,72.2,ALTA
2026-06-22,Norway,Senegal,Over 2.5,Over,williamhill,1.95,0.5074,1.971,-1.06,46.8,BAJA
2026-06-14,Netherlands,Japan,Under 2.5,Under,pinnacle,1.9,0.5202,1.922,-1.16,93.0,MUY ALTA
2026-06-26,Uruguay,Spain,Under 2.5,Under,williamhill,1.85,0.5342,1.872,-1.17,55.3,MEDIA
2026-06-22,Jordan,Algeria,Under 2.5,Under,williamhill,1.8,0.5489,1.822,-1.2,55.6,MEDIA
2026-06-19,United States,Australia,Over 2.5,Over,williamhill,2.0,0.4929,2.029,-1.42,72.2,ALTA
2026-06-15,Iran,New Zealand,Over 2.5,Over,williamhill,2.15,0.4582,2.182,-1.49,59.6,MEDIA
2026-06-22,Norway,Senegal,Over 2.5,Over,pinnacle,1.94,0.5074,1.971,-1.56,46.8,BAJA
2026-06-16,Argentina,Algeria,Under 2.5,Under,pmu_fr,1.81,0.5424,1.844,-1.83,55.1,MEDIA
2026-06-27,Panama,England,Under 2.5,Under,williamhill,2.2,0.446,2.242,-1.88,87.9,MUY ALTA
2026-06-17,Ghana,Panama,Over 2.5,Over,williamhill,2.15,0.4557,2.194,-2.02,62.1,MEDIA
2026-06-27,Colombia,Portugal,Over 2.5,Over,pmu_fr,2.04,0.4791,2.087,-2.26,78.3,ALTA
2026-06-27,DR Congo,Uzbekistan,Under 2.5,Under,pmu_fr,1.51,0.647,1.546,-2.3,37.6,BAJA
2026-06-22,Jordan,Algeria,Under 2.5,Under,pmu_fr,1.78,0.5489,1.822,-2.3,55.6,MEDIA
2026-06-24,Czech Republic,Mexico,Under 2.5,Under,williamhill,1.7,0.5745,1.741,-2.33,70.6,ALTA
2026-06-26,Egypt,Iran,Over 2.5,Over,williamhill,2.5,0.3904,2.561,-2.4,49.8,BAJA
2026-06-23,Panama,Croatia,Under 2.5,Under,pmu_fr,1.76,0.5544,1.804,-2.43,73.1,ALTA
2026-06-18,Mexico,South Korea,Under 2.5,Under,williamhill,1.62,0.6022,1.661,-2.44,73.9,ALTA
2026-06-13,Qatar,Switzerland,Under 2.5,Under,williamhill,2.25,0.4335,2.307,-2.46,49.8,BAJA
2026-06-14,Sweden,Tunisia,Over 2.5,Over,pmu_fr,2.08,0.4683,2.135,-2.59,59.5,MEDIA
2026-06-23,Colombia,DR Congo,Over 2.5,Over,pmu_fr,1.95,0.4994,2.002,-2.62,51.2,MEDIA
2026-06-23,Panama,Croatia,Under 2.5,Under,williamhill,1.75,0.5544,1.804,-2.98,73.1,ALTA
2026-06-21,Uruguay,Cape Verde,Under 2.5,Under,pinnacle,1.89,0.5131,1.949,-3.02,45.9,BAJA
2026-06-26,Norway,France,Under 2.5,Under,pinnacle,1.81,0.5356,1.867,-3.06,86.6,MUY ALTA
2026-06-13,Australia,Turkey,Under 2.5,Under,williamhill,1.75,0.5538,1.806,-3.08,69.3,ALTA
2026-06-18,Canada,Qatar,Under 2.5,Under,pinnacle,1.85,0.5237,1.909,-3.12,63.1,MEDIA
2026-06-26,Norway,France,Under 2.5,Under,williamhill,1.8,0.5356,1.867,-3.59,86.6,MUY ALTA
2026-06-20,Germany,Ivory Coast,Under 2.5,Under,williamhill,2.05,0.4697,2.129,-3.71,52.2,MEDIA
2026-06-14,Netherlands,Japan,Under 2.5,Under,williamhill,1.85,0.5202,1.922,-3.76,93.0,MUY ALTA
2026-06-27,Algeria,Austria,Under 2.5,Under,williamhill,1.65,0.5812,1.721,-4.1,71.9,ALTA
2026-06-13,Brazil,Morocco,Under 2.5,Under,pmu_fr,1.68,0.5708,1.752,-4.11,62.2,MEDIA
2026-06-14,Netherlands,Japan,Over 2.5,Over,pinnacle,1.99,0.4798,2.084,-4.52,93.0,MUY ALTA
2026-06-15,Iran,New Zealand,Over 2.5,Over,pmu_fr,2.08,0.4582,2.182,-4.69,59.6,MEDIA
2026-06-19,Scotland,Morocco,Over 2.5,Over,williamhill,2.25,0.4235,2.361,-4.71,81.2,MUY ALTA
2026-06-12,Canada,Bosnia and Herzegovina,Under 2.5,Under,williamhill,1.67,0.5697,1.755,-4.86,51.8,MEDIA
2026-06-19,United States,Australia,Over 2.5,Over,pmu_fr,1.93,0.4929,2.029,-4.87,72.2,ALTA
2026-06-21,Uruguay,Cape Verde,Under 2.5,Under,williamhill,1.85,0.5131,1.949,-5.08,45.9,BAJA
2026-06-26,Cape Verde,Saudi Arabia,Under 2.5,Under,williamhill,1.62,0.5843,1.711,-5.34,57.0,MEDIA
2026-06-24,South Africa,South Korea,Under 2.5,Under,williamhill,1.67,0.5668,1.764,-5.34,33.0,MUY BAJA
2026-06-22,Argentina,Austria,Over 2.5,Over,pmu_fr,1.8,0.5256,1.903,-5.39,61.0,MEDIA
2026-06-26,New Zealand,Belgium,Under 2.5,Under,williamhill,2.1,0.45,2.222,-5.5,70.2,ALTA
2026-06-12,United States,Paraguay,Over 2.5,Over,pmu_fr,2.0,0.4716,2.12,-5.68,66.4,ALTA
2026-06-19,Brazil,Haiti,Over 2.5,Over,williamhill,1.25,0.7545,1.325,-5.69,44.3,BAJA
2026-06-24,Scotland,Brazil,Under 2.5,Under,pmu_fr,1.83,0.5151,1.941,-5.74,51.7,MEDIA
2026-06-24,Morocco,Haiti,Over 2.5,Over,williamhill,1.7,0.5544,1.804,-5.75,38.9,BAJA
