team_canonical,player_name,club,position_broad
United States,Chris Richards,Crystal Palace,Defender
United States,Antonee Robinson,Fulham,Defender
United States,Miles Robinson,FC Cincinnati,Defender
United States,Joe Scally,Borussia Mönchengladbach,Defender
United States,Cameron Carter-Vickers,Celtic FC,Defender
United States,Tyler Adams,AFC Bournemouth,Midfielder
United States,Weston McKennie,Juventus,Midfielder
United States,Brenden Aaronson,Leeds United,Midfielder
United States,Malik Tillman,Bayer Leverkusen,Midfielder
United States,Aidan Morris,Middlesbrough FC,Midfielder
United States,Giovanni Reyna,Borussia Dortmund,Midfielder
United States,Johnny Cardoso,Real Betis,Midfielder
United States,Yunus Musah,AC Milan,Midfielder
United States,Christian Pulisic,AC Milan,Forward
United States,Folarin Balogun,AS Monaco,Forward
United States,Ricardo Pepi,PSV Eindhoven,Forward
United States,Haji Wright,Coventry City,Forward
United States,Josh Sargent,Norwich City,Forward
United States,Kevin Paredes,VfL Wolfsburg,Forward
United States,Timothy Weah,Juventus,Forward
Australia,Patrick Beach,Melbourne City,Goalkeeper
Australia,Paul Izzo,Randers FC,Goalkeeper
Australia,Matthew Ryan,Levante,Goalkeeper
Australia,Aziz Behich,Melbourne City,Defender
Australia,Jordan Bos,Feyenoord,Defender
Australia,Cameron Burgess,Swansea City,Defender
Australia,Alessandro Circati,Parma Calcio 1913,Defender
Australia,Milos Degenek,Apoel FC,Defender
Australia,Jason Geria,Albirex Niigata,Defender
Australia,Lucas Herrington,Colorado Rapids,Defender
Australia,Jacob Italiano,Grazer AK,Defender
Australia,Harry Souttar,Leicester City,Defender
Australia,Kai Trewin,New York City,Defender
Australia,Cameron Devlin,Hearts,Midfielder
Australia,Ajdin Hrustic,Heracles Almelo,Midfielder
Australia,Jackson Irvine,St Pauli,Midfielder
Australia,Connor Metcalfe,St Pauli FC,Midfielder
Australia,Aiden O’Neill,New York City,Midfielder
Australia,Cristian Volpato,Sassuolo,Midfielder
Australia,Paul Okon,Sydney FC,Midfielder
Australia,Nestory Irankunda,Watford,Forward
Australia,Mathew Leckie,Melbourne City,Forward
Australia,Awer Mabil,CD Castellón,Forward
Australia,Mohamed Toure,Norwich City,Forward
Australia,Nishan Velupillay,Melbourne Victory,Forward
Australia,Tete Yengi,Machida Zelvia,Forward
Paraguay,Carlos Coronel,New York Red Bulls,Goalkeeper
Paraguay,Juan Espínola,Belgrano,Goalkeeper
Paraguay,"Roberto ""Gatito"" Fernández",Botafogo,Goalkeeper
Paraguay,Gustavo Gómez,Palmeiras,Defender
Paraguay,Gustavo Velázquez,Cerro Porteño,Defender
Paraguay,Júnior Alonso,Atlético Mineiro,Defender
Paraguay,Omar Alderete,Sunderland,Defender
Paraguay,Fabián Balbuena,Gremio,Defender
Paraguay,Agustín Sández,Rosario Central,Defender
Paraguay,Juan José Cáceres,CA Lanús,Defender
Paraguay,Mateo Gamarra,Athletico Paranaense,Defender
Paraguay,Diego Gómez,Brighton & Hove Albion,Midfielder
Paraguay,Damián Bobadilla,Sao Paulo,Midfielder
Paraguay,Andrés Cubas,Vancouver Whitecaps,Midfielder
Paraguay,Matías Galarza,Atlanta United,Midfielder
Paraguay,Alejandro Romero Gamarra 'Kaku',Al Ain,Midfielder
Paraguay,Fabrizio Peralta,Cruzeiro,Midfielder
Paraguay,Mathías Villasanti,Grêmio,Midfielder
Paraguay,Ramón Sosa,Palmeiras,Forward
Paraguay,Alex Arce,Independiente Rivadavia,Forward
Paraguay,Isidro Pitta,Red Bull Bragantino,Forward
Paraguay,Miguel Almirón,Atlanta United,Forward
Paraguay,Julio Enciso,Strasbourg,Forward
Paraguay,Antonio Sanabria,Cremonese,Forward
Paraguay,Adam Bareiro,River Plate,Forward
Paraguay,Ángel Romero,Corinthians,Forward
Turkey,Altay Bayındır,Manchester United,Goalkeeper
Turkey,Mert Günok,Fenerbahçe,Goalkeeper
Turkey,Uğurcan Çakır,Trabzonspor,Goalkeeper
Turkey,Abdülkerim Bardakcı,Galatasaray,Defender
Turkey,Ahmetcan Kaplan,NEC Nijmegen,Defender
Turkey,Caglar Söyüncü,Fenerbahçe,Defender
Turkey,Ferdi Kadıoğlu,Brighton & Hove Albion,Defender
Turkey,Merih Demiral,Al-Ahli Saudi,Defender
Turkey,Mert Müldür,Fenerbahçe,Defender
Turkey,Zeki Çelik,AS Roma,Defender
Turkey,Kaan Ayhan,Galatasaray,Defender
Turkey,Hakan Çalhanoglu,Inter de Milán,Midfielder
Turkey,Ismail Yüksek,Fenerbahçe,Midfielder
Turkey,Orkun Kökçü,Beşiktaş,Midfielder
Turkey,Salih Özcan,Borussia Dortmund,Midfielder
Turkey,Arda Güler,Real Madrid,Midfielder
Turkey,Can Uzun,Eintracht Fráncfort,Midfielder
Turkey,İrfan Can Kahveci,Fenerbahçe,Midfielder
Turkey,Okay Yokuşlu,Trabzonspor,Midfielder
Turkey,Barış Alper Yılmaz,Galatasaray,Forward
Turkey,Kenan Yıldız,Juventus,Forward
Turkey,Yunus Akgün,Galatasaray,Forward
Turkey,Bertuğ Yıldırım,Getafe CF,Forward
Turkey,Enes Ünal,AFC Bournemouth,Forward
Turkey,Kerem Aktürkoğlu,SL Benfica,Forward
Turkey,Semih Kılıçsoy,Beşiktaş,Forward
Germany,Oliver Baumann,Hoffenheim,Goalkeeper
Germany,Manuel Neuer,Bayern Munich,Goalkeeper
Germany,Alexander Nübel,Stuttgart,Goalkeeper
Germany,Waldemar Anton,Borussia Dortmund,Defender
Germany,Nathaniel Brown,Eintracht Frankfurt,Defender
Germany,David Raum,RB Leipzig,Defender
Germany,Antonio Rüdiger,Real Madrid,Defender
Germany,Nico Schlotterbeck,Borussia Dortmund,Defender
Germany,Jonathan Tah,Bayern Munich,Defender
Germany,Malick Thiaw,Newcastle,Defender
Germany,Pascal Groß,Brighton,Midfielder
Germany,Joshua Kimmich,Bayern Munich,Midfielder
Germany,Aleksandar Pavlovic,Bayern Munich,Midfielder
Germany,Felix Nmecha,Borussia Dortmund,Midfielder
Germany,Angelo Stiller,Stuttgart,Midfielder
Germany,Leon Goretzka,Bayern Munich,Midfielder
Germany,Lennart Karl,Bayern Munich,Midfielder
Germany,Jamal Musiala,Bayern Munich,Midfielder
Germany,Florian Wirtz,Nottingham Forest,Midfielder
Germany,Nadiem Amiri,Mainz 05,Forward
Germany,Jamie Leweling,Stuttgart,Forward
Germany,Maximilian Beier,Borussia Dortmund,Forward
Germany,Kai Havertz,Arsenal,Forward
Germany,Leroy Sané,Galatasaray,Forward
Germany,Deniz Undav,Stuttgart,Forward
Germany,Nick Woltemade,Newcastle,Forward
Curacao,Eloy Room,Miami FC,Goalkeeper
Curacao,Trevor Doornbusch,VVV Venlo,Goalkeeper
Curacao,Tyrick Bodack,SC Telstar,Goalkeeper
Curacao,Riechedly Bazoer,Konyaspor,Defender
Curacao,Joshua Brenet,Kayserispor,Defender
Curacao,Roshon van Eijma,RKC Waalwijk,Defender
Curacao,Sherel Floranus,PEC Zwolle,Defender
Curacao,Deveron Fonville,NEC Nijmegen,Defender
Curacao,Juriën Gaari,Abha,Defender
Curacao,Armando Obispo,PSV Eindhoven,Defender
Curacao,Shurandy Sambo,Sparta Rotterdam,Defender
Curacao,Juninho Bacuna,Volendam,Midfielder
Curacao,Leandro Bacuna,Igdir,Midfielder
Curacao,Livano Comenencia,Zurich,Midfielder
Curacao,Kevin Felida,Den Bosch,Midfielder
Curacao,Ar'jany Martha,Rotherham United,Midfielder
Curacao,Tyrese Noslin,Telstar,Midfielder
Curacao,Godfried Roemeratoe,RKC Waalwijk,Midfielder
Curacao,Jeremy Antonisse,Kifisia,Forward
Curacao,Tahith Chong,Sheffield United,Forward
Curacao,Kenji Gorré,Maccabi Haifa,Forward
Curacao,Sontje Hansen,Middlesbrough,Forward
Curacao,Gervane Kastaneer,Terengganu,Forward
Curacao,Brandley Kuwas,Volendam,Forward
Curacao,Jürgen Locadia,Miami FC,Forward
Curacao,Jearl Margaritha,Beveren,Forward
Ivory Coast,Yahia Fofana,Rizespor,Goalkeeper
Ivory Coast,Mohamed Koné,Charleroi,Goalkeeper
Ivory Coast,Alban Lafont,Panathinaikos,Goalkeeper
Ivory Coast,Emmanuel Agbadou,Beşiktaş,Defender
Ivory Coast,Ousmane Diomande,Sporting CP,Defender
Ivory Coast,Guela Doué,Strasbourg,Defender
Ivory Coast,Ghislain Konan,Gil Vicente,Defender
Ivory Coast,Odilon Kossounou,Atalanta,Defender
Ivory Coast,Evan Ndicka,AS Roma,Defender
Ivory Coast,Wilfried Singo,Galatasaray,Defender
Ivory Coast,Christopher Opéri,İstanbul Başakşehir,Defender
Ivory Coast,Seko Fofana,Porto,Midfielder
Ivory Coast,Parfait Guiagon,Charleroi,Midfielder
Ivory Coast,Franck Kessié,Al Ahli,Midfielder
Ivory Coast,Christ Inao Oulaï,Trabzonspor,Midfielder
Ivory Coast,Ibrahim Sangaré,Nottingham Forest,Midfielder
Ivory Coast,Jean Michaël Seri,NK Maribor,Midfielder
Ivory Coast,Simon Adingra,AS Monaco,Forward
Ivory Coast,Ange-Yoan Bonny,Internazionale,Forward
Ivory Coast,Amad Diallo,Manchester United,Forward
Ivory Coast,Oumar Diakité,Cercle Brugge,Forward
Ivory Coast,Yan Diomande,RB Leipzig,Forward
Ivory Coast,Evann Guessand,Aston Villa,Forward
Ivory Coast,Nicolas Pépé,Villarreal,Forward
Ivory Coast,Bazoumana Touré,Hoffenheim,Forward
Ivory Coast,Elye Wahi,Nice,Forward
Ecuador,Hernán Galíndez,Huracán,Goalkeeper
Ecuador,Moisés Ramírez,AE Kifisias,Goalkeeper
Ecuador,Gonzalo Valle,LDU Quito,Goalkeeper
Ecuador,Willian Pacho,PSG,Defender
Ecuador,Piero Hincapié,Arsenal,Defender
Ecuador,Joel Ordóñez,Club Brugge,Defender
Ecuador,Félix Torres,Internacional,Defender
Ecuador,Pervis Estupiñán,AC Milan,Defender
